customer_id,first_purchase_date,last_purchase_date,total_orders,total_units,total_revenue,unique_products,average_order_value,customer_lifetime_days
12346.0,2010-03-02 13:08:00,2011-01-18 10:01:00,3,74238,77347.01000000001,24,25782.33666666667,321
12347.0,2010-10-31 14:20:00,2011-12-07 15:52:00,8,3286,5633.32,126,704.165,402
12348.0,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2704,1658.3999999999999,24,331.67999999999995,362
12349.0,2010-04-29 13:20:00,2011-11-21 09:51:00,3,1621,3678.69,137,1226.23,570
12350.0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,196,294.4,16,294.4,0
12351.0,2010-11-29 15:23:00,2010-11-29 15:23:00,1,249,270.33,19,270.33,0
12352.0,2010-11-12 10:20:00,2011-11-03 14:37:00,9,710,1709.74,67,189.9711111111111,356
12353.0,2010-10-27 12:44:00,2011-05-19 17:47:00,2,212,406.76,23,203.38,204
12354.0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,530,1079.4,58,1079.4,0
12355.0,2010-05-21 11:59:00,2011-05-09 13:49:00,2,543,947.61,35,473.805,353
12356.0,2010-10-11 09:42:00,2011-11-17 08:40:00,6,3376,5611.73,103,935.2883333333333,401
12357.0,2010-11-16 10:05:00,2011-11-06 16:07:00,2,6521,17267.71,255,8633.855,355
12358.0,2009-12-08 07:59:00,2011-12-08 10:26:00,5,960,2864.4700000000003,54,572.894,730
12359.0,2009-12-05 13:32:00,2011-10-13 12:47:00,10,2736,8858.54,304,885.854,676
12360.0,2010-02-22 09:32:00,2011-10-18 15:22:00,6,2443,3612.89,159,602.1483333333333,603
12361.0,2010-01-26 14:37:00,2011-02-25 13:51:00,4,231,451.25,17,112.8125,394
12362.0,2011-02-17 10:30:00,2011-12-06 15:40:00,10,2178,4648.58,197,464.858,292
12363.0,2011-04-11 13:29:00,2011-08-22 10:18:00,2,408,552.0,23,276.0,132
12364.0,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1499,1208.1,69,302.025,104
12365.0,2011-02-21 13:51:00,2011-02-21 13:51:00,1,173,320.69,21,320.69,0
12366.0,2010-03-16 10:28:00,2010-03-16 10:28:00,1,296,500.24,3,500.24,0
12367.0,2011-12-05 16:48:00,2011-12-05 16:48:00,1,172,150.9,10,150.9,0
12368.0,2010-03-21 15:56:00,2010-03-21 15:56:00,1,330,917.6999999999999,18,917.6999999999999,0
12369.0,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1234,1511.15,89,503.7166666666667,228
12370.0,2010-02-09 09:41:00,2011-10-19 14:51:00,7,2591,3936.7599999999998,166,562.3942857142857,617
12371.0,2010-03-04 18:23:00,2011-10-11 10:43:00,4,1418,3347.38,133,836.845,585
12372.0,2011-02-16 12:46:00,2011-09-29 12:12:00,3,788,1196.04,33,398.68,224
12373.0,2010-02-04 12:08:00,2011-02-01 13:10:00,3,505,915.0500000000001,34,305.0166666666667,362
12374.0,2010-04-30 14:01:00,2011-11-14 15:37:00,3,1354,2669.22,78,889.7399999999999,563
12375.0,2011-09-02 14:23:00,2011-11-29 10:36:00,2,176,377.5,13,188.75,87
